Defect type,Project name,Anomaly ID,Anomaly Link,Blade,Blade model,Category,Rib,Side,"Distance to root, m",Image,Photo url,Custom Recommendation,Link to project,Turbine model,Lenght mm,service_hours,Blade lenght m,Service end date,Commissioning year,finalization_date,service_type,finalized_by,turbine_id
Delamination,GEGB-3907,WTG P-38@105911-46.9-1403,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,46.9,https://storage.googleapis.com/aip_prod_bucket/84ad27e6-6157-4537-ac34-182aee6860a4.jpg,https://storage.googleapis.com/aip_prod_bucket/84ad27e6-6157-4537-ac34-182aee6860a4.jpg,null,Link,Haliade-X 13.0-220,142,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105910-5-1773,Anomaly in Portal,000298-107.0P2-56,LM 107.0,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,5,https://storage.googleapis.com/aip_prod_bucket/7bab8f4f-4e0b-4a50-b399-eef7f09352ce.jpg,https://storage.googleapis.com/aip_prod_bucket/7bab8f4f-4e0b-4a50-b399-eef7f09352ce.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105909-7.8-1924,Anomaly in Portal,000297-107.0P2-56,LM 107.0,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,7.8,https://storage.googleapis.com/aip_prod_bucket/d7a4e8ed-7716-4b6d-b698-76b44cdabfca.jpg,https://storage.googleapis.com/aip_prod_bucket/d7a4e8ed-7716-4b6d-b698-76b44cdabfca.jpg,null,Link,Haliade-X 13.0-220,null,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105909-7.8-1924,Anomaly in Portal,000297-107.0P2-56,LM 107.0,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,7.8,https://storage.googleapis.com/aip_prod_bucket/961a6ee4-6a67-4fd2-a951-2c9204c8d1b9.jpg,https://storage.googleapis.com/aip_prod_bucket/961a6ee4-6a67-4fd2-a951-2c9204c8d1b9.jpg,null,Link,Haliade-X 13.0-220,null,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105911-53.1-6662,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,53.1,https://storage.googleapis.com/aip_prod_bucket/fb36dcc5-6d30-43ee-9097-88dafc533f78.jpg,https://storage.googleapis.com/aip_prod_bucket/fb36dcc5-6d30-43ee-9097-88dafc533f78.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105909-15-9262,Anomaly in Portal,000297-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,15,https://storage.googleapis.com/aip_prod_bucket/fa4fdb3d-99a3-4df4-88a1-679532ae03e3.jpg,https://storage.googleapis.com/aip_prod_bucket/fa4fdb3d-99a3-4df4-88a1-679532ae03e3.jpg,null,Link,Haliade-X 13.0-220,160,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105911-46.9-1403,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,46.9,https://storage.googleapis.com/aip_prod_bucket/e3961f31-79fa-4475-90c8-6e2f13125418.jpg,https://storage.googleapis.com/aip_prod_bucket/e3961f31-79fa-4475-90c8-6e2f13125418.jpg,null,Link,Haliade-X 13.0-220,142,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105911-53.1-6662,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,53.1,https://storage.googleapis.com/aip_prod_bucket/d4792973-1f14-4996-95de-48f30c990312.jpg,https://storage.googleapis.com/aip_prod_bucket/d4792973-1f14-4996-95de-48f30c990312.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105910-5-1773,Anomaly in Portal,000298-107.0P2-56,LM 107.0,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,5,https://storage.googleapis.com/aip_prod_bucket/5c6144ef-567a-4b27-9dc8-8bd17de9a549.jpg,https://storage.googleapis.com/aip_prod_bucket/5c6144ef-567a-4b27-9dc8-8bd17de9a549.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105909-15-9262,Anomaly in Portal,000297-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,15,https://storage.googleapis.com/aip_prod_bucket/80fae1cd-150a-4e50-a63e-d0a919e832e0.jpg,https://storage.googleapis.com/aip_prod_bucket/80fae1cd-150a-4e50-a63e-d0a919e832e0.jpg,null,Link,Haliade-X 13.0-220,160,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105911-33.3-1144,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,33.3,https://storage.googleapis.com/aip_prod_bucket/3ee4162b-ec28-4a93-adf1-a9b5ead869ed.jpg,https://storage.googleapis.com/aip_prod_bucket/3ee4162b-ec28-4a93-adf1-a9b5ead869ed.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEGB-3907,WTG P-38@105911-33.3-1144,Anomaly in Portal,000291-107.0P2-56,LM 107.0,CATEGORY 2,MID_1,SUCTION_SIDE,33.3,https://storage.googleapis.com/aip_prod_bucket/ec786f11-ff3d-4675-8735-bc2a5f880169.jpg,https://storage.googleapis.com/aip_prod_bucket/ec786f11-ff3d-4675-8735-bc2a5f880169.jpg,null,Link,Haliade-X 13.0-220,20,null,107,"Apr 3, 2026",2025,"Apr 3, 2026",IIN,Kunj Dave,33851
Delamination,GEUS-3739,WTG A_168_S@68978-35.93-2572,Anomaly in Portal,TPI-60710,TPI 75.7,CATEGORY 3,LEADING_EDGE,PRESSURE_SIDE,35.93,https://storage.googleapis.com/aip_prod_bucket/745be6c4-20ec-4b3e-8d52-da2eb9b9a828.jpg,https://storage.googleapis.com/aip_prod_bucket/745be6c4-20ec-4b3e-8d52-da2eb9b9a828.jpg,"Develops as a result of transportation, fatigue loads, impact damage, lightning strikes or faults in production. The affected area is structurally defective. Creates favorable conditions for the formation of cracks.",Link,3.8-154,265,null,75.7,"Feb 28, 2026",2025,"Feb 28, 2026",IIN,Lili Berrios,21532
Delamination,GEUS-3739,WTG A_168_S@68978-35.93-2572,Anomaly in Portal,TPI-60710,TPI 75.7,CATEGORY 3,LEADING_EDGE,PRESSURE_SIDE,35.93,https://storage.googleapis.com/aip_prod_bucket/c64c68b2-9f8a-4ba3-8c1d-4c344b75842d.jpg,https://storage.googleapis.com/aip_prod_bucket/c64c68b2-9f8a-4ba3-8c1d-4c344b75842d.jpg,"Develops as a result of transportation, fatigue loads, impact damage, lightning strikes or faults in production. The affected area is structurally defective. Creates favorable conditions for the formation of cracks.",Link,3.8-154,265,null,75.7,"Feb 28, 2026",2025,"Feb 28, 2026",IIN,Lili Berrios,21532
