Defect type,Project name,Anomaly ID,Anomaly Link,Blade,Blade model,Category,Rib,Side,"Distance to root, m",Image,Photo url,Custom Recommendation,Link to project,Turbine model,Lenght mm,service_hours,Blade lenght m,Service end date,Commissioning year,finalization_date,service_type,finalized_by,turbine_id
Dry Glass,GEAU-4833,WTG B051@79950-11.6-9245,Anomaly in Portal,000511-PR65.4p3-53,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,11.6,https://storage.googleapis.com/aip_prod_bucket/ae41e942-da17-4911-bdcd-53ef63cbe750.jpg,https://storage.googleapis.com/aip_prod_bucket/ae41e942-da17-4911-bdcd-53ef63cbe750.jpg,,Link,5.5-158,0,null,77.4,"Feb 26, 2026",2023,"Feb 26, 2026",IIN,Maksims Jevsejevs,25192
Dry Glass,GEAU-4833,WTG B051@79949-17.6-3577,Anomaly in Portal,000509-PR65.4p3-53,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,17.6,https://storage.googleapis.com/aip_prod_bucket/0d822537-507d-4713-866c-98303bb3f718.jpg,https://storage.googleapis.com/aip_prod_bucket/0d822537-507d-4713-866c-98303bb3f718.jpg,,Link,5.5-158,0,null,77.4,"Feb 26, 2026",2023,"Feb 26, 2026",IIN,Maksims Jevsejevs,25192
Dry Glass,GEAU-4833,WTG B051@79949-14.4-1705,Anomaly in Portal,000509-PR65.4p3-53,LM 77.4P3,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,14.4,https://storage.googleapis.com/aip_prod_bucket/c9fbda15-a147-43cc-8dd4-0a1ad7160831.jpg,https://storage.googleapis.com/aip_prod_bucket/c9fbda15-a147-43cc-8dd4-0a1ad7160831.jpg,,Link,5.5-158,0,null,77.4,"Feb 26, 2026",2023,"Feb 26, 2026",IIN,Maksims Jevsejevs,25192
Dry Glass,GEAU-4833,WTG B051@79949-15.1-6408,Anomaly in Portal,000509-PR65.4p3-53,LM 77.4P3,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,15.1,https://storage.googleapis.com/aip_prod_bucket/837820c5-14ff-48d3-83b7-fe55495481cc.jpg,https://storage.googleapis.com/aip_prod_bucket/837820c5-14ff-48d3-83b7-fe55495481cc.jpg,,Link,5.5-158,0,null,77.4,"Feb 26, 2026",2023,"Feb 26, 2026",IIN,Maksims Jevsejevs,25192
Dry Glass,GEAU-4833,WTG B004@79957-23.1-4713,Anomaly in Portal,000476-PR65.4p3-53,LM 77.4P3,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,23.1,https://storage.googleapis.com/aip_prod_bucket/9bd0bb72-57bc-44e5-8508-0aaf0693e2a5.jpg,https://storage.googleapis.com/aip_prod_bucket/9bd0bb72-57bc-44e5-8508-0aaf0693e2a5.jpg,,Link,5.5-158,0,null,77.4,"Feb 25, 2026",2023,"Feb 25, 2026",IIN,Maksims Jevsejevs,25195
Dry Glass,GEAU-4833,WTG B026@79970-30.8-2488,Anomaly in Portal,B@WTG B026,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,30.8,https://storage.googleapis.com/aip_prod_bucket/94c8eff4-2f05-4cc7-a407-a11a22c59052.jpg,https://storage.googleapis.com/aip_prod_bucket/94c8eff4-2f05-4cc7-a407-a11a22c59052.jpg,Develops during production when one or more laminate plies are not infused with resin. The affected area could be structurally defective.,Link,5.5-158,0,null,77.4,"Feb 24, 2026",2023,"Feb 24, 2026",IIN,Mārtiņš Tīmanis,25199
Dry Glass,GEUS-3739,WTG A_127_S@68951-17.1-4466,Anomaly in Portal,000572-75.7P2-33,TPI 75.7,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,17.1,https://storage.googleapis.com/aip_prod_bucket/5b75eebf-f24a-485a-bd8f-e9d2fdfdfa2b.jpg,https://storage.googleapis.com/aip_prod_bucket/5b75eebf-f24a-485a-bd8f-e9d2fdfdfa2b.jpg,,Link,3.8-154,0,null,75.7,"Feb 24, 2026",2025,"Feb 24, 2026",IIN,Maksims Jevsejevs,21523
Dry Glass,GEAU-4876,WTG 20 53197533@98448-26.4-4646,Anomaly in Portal,A@00024-PR65.4P3-55,LM 77.4,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,26.4,https://storage.googleapis.com/aip_prod_bucket/836b2a10-fd84-4d48-9346-bab03b808f3d.jpg,https://storage.googleapis.com/aip_prod_bucket/836b2a10-fd84-4d48-9346-bab03b808f3d.jpg,,Link,5.3-158,0,null,77.4,"Feb 24, 2026",2021,"Feb 24, 2026",IIN,Salvis Milts,31363
Dry Glass,GEUS-3739,WTG 6_45_S@69509-51.8-2159,Anomaly in Portal,000368,TPI 75.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,51.8,https://storage.googleapis.com/aip_prod_bucket/fa59a7ac-6c70-417b-b3ef-c75946ec0b95.jpg,https://storage.googleapis.com/aip_prod_bucket/fa59a7ac-6c70-417b-b3ef-c75946ec0b95.jpg,Develops during production when one or more laminate plies are not infused with resin. The affected area could be structurally defective.,Link,3.8-154,0,null,75.7,"Feb 24, 2026",2025,"Feb 24, 2026",IIN,Kristians Strazdiņš,21709
Dry Glass,GEUS-3739,WTG 6_45_S@69510-33-4306,Anomaly in Portal,000389,TPI 75.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,33,https://storage.googleapis.com/aip_prod_bucket/7f42ce8f-8935-452f-8b71-ea926967ef49.jpg,https://storage.googleapis.com/aip_prod_bucket/7f42ce8f-8935-452f-8b71-ea926967ef49.jpg,Develops during production when one or more laminate plies are not infused with resin. The affected area could be structurally defective.,Link,3.8-154,0,null,75.7,"Feb 24, 2026",2025,"Feb 24, 2026",IIN,Kristians Strazdiņš,21709
