Defect type,Project name,Anomaly ID,Anomaly Link,Blade,Blade model,Category,Rib,Side,"Distance to root, m",Image,Photo url,Custom Recommendation,Link to project,Turbine model,Lenght mm,service_hours,Blade lenght m,Service end date,Commissioning year,finalization_date,service_type,finalized_by,turbine_id
Lightning Damage,AQUS-3495,WTG SN77@41-0649-21.10,Anomaly in Portal,41-0649,G44P,CATEGORY 2,TRAILING_EDGE,PRESSURE_SIDE,21.1,https://storage.googleapis.com/aip_prod_bucket/0a292b40-d649-4f82-99fe-2871dd32db93.jpg,https://storage.googleapis.com/aip_prod_bucket/0a292b40-d649-4f82-99fe-2871dd32db93.jpg,null,Link,G90,null,null,44,"Feb 23, 2026",2012,"Feb 23, 2026",IIN,Edgars Stuļģis,9519
Lightning Damage,AQUS-3495,WTG SN77@41-0652-23.49,Anomaly in Portal,41-0652,G44P,CATEGORY 4,LEADING_EDGE,SUCTION_SIDE,23.49,https://storage.googleapis.com/aip_prod_bucket/d01d2669-b15e-4be6-a920-62585ad82c8b.jpg,https://storage.googleapis.com/aip_prod_bucket/d01d2669-b15e-4be6-a920-62585ad82c8b.jpg,"Lightning damage - Caused by a lightning strike. The LPS might not work properly and an LPS inspection is required.
There is a potential risk that moisture can penetrate the core material and damage it further. External inspection is
required to inspect how many outer layers are affected. The inner shell laminate layers should be ground off and replaced.
The shear web damage should be inspected from the other side. If the other side is damaged, clean from both sides and
laminate reinforcement according to engineers' work instructions. If the shear web is okay from the other side, grind off the
top layers, replace the core material, and apply laminate. Repair should be done as soon as possible. Repeat the LPS
inspection after repair.",Link,G90,null,null,44,"Feb 23, 2026",2012,"Feb 23, 2026",IIN,Edgars Stuļģis,9519
Lightning Damage,AQUS-3495,WTG SN77@41-0652-23.49,Anomaly in Portal,41-0652,G44P,CATEGORY 4,LEADING_EDGE,SUCTION_SIDE,23.49,https://storage.googleapis.com/aip_prod_bucket/a2c17e99-a8c1-4ed5-a48b-e5358ddab88f.jpg,https://storage.googleapis.com/aip_prod_bucket/a2c17e99-a8c1-4ed5-a48b-e5358ddab88f.jpg,"Lightning damage - Caused by a lightning strike. The LPS might not work properly and an LPS inspection is required.
There is a potential risk that moisture can penetrate the core material and damage it further. External inspection is
required to inspect how many outer layers are affected. The inner shell laminate layers should be ground off and replaced.
The shear web damage should be inspected from the other side. If the other side is damaged, clean from both sides and
laminate reinforcement according to engineers' work instructions. If the shear web is okay from the other side, grind off the
top layers, replace the core material, and apply laminate. Repair should be done as soon as possible. Repeat the LPS
inspection after repair.",Link,G90,null,null,44,"Feb 23, 2026",2012,"Feb 23, 2026",IIN,Edgars Stuļģis,9519
Lightning Damage,AQUS-3495,WTG SN77@41-0652-23.49,Anomaly in Portal,41-0652,G44P,CATEGORY 4,LEADING_EDGE,SUCTION_SIDE,23.49,https://storage.googleapis.com/aip_prod_bucket/532f8d87-5a87-425c-a720-cc5280fd6b1a.jpg,https://storage.googleapis.com/aip_prod_bucket/532f8d87-5a87-425c-a720-cc5280fd6b1a.jpg,"Lightning damage - Caused by a lightning strike. The LPS might not work properly and an LPS inspection is required.
There is a potential risk that moisture can penetrate the core material and damage it further. External inspection is
required to inspect how many outer layers are affected. The inner shell laminate layers should be ground off and replaced.
The shear web damage should be inspected from the other side. If the other side is damaged, clean from both sides and
laminate reinforcement according to engineers' work instructions. If the shear web is okay from the other side, grind off the
top layers, replace the core material, and apply laminate. Repair should be done as soon as possible. Repeat the LPS
inspection after repair.",Link,G90,null,null,44,"Feb 23, 2026",2012,"Feb 23, 2026",IIN,Edgars Stuļģis,9519
Lightning Damage,GEAU-4876,WTG 41 53197554@98511-37.5-1469,Anomaly in Portal,A@000005-PR65.4p5-53,LM 77.4,CATEGORY 2,TRAILING_EDGE,PRESSURE_SIDE,37.5,https://storage.googleapis.com/aip_prod_bucket/ca7ba555-73ae-4256-a282-244ee9f709b1.jpg,https://storage.googleapis.com/aip_prod_bucket/ca7ba555-73ae-4256-a282-244ee9f709b1.jpg,,Link,5.3-158,0,null,77.4,"Feb 11, 2026",2021,"Feb 11, 2026",IIN,Maksims Jevsejevs,31384
Lightning Damage,GEAU-4876,WTG 41 53197554@98511-40.2-2796,Anomaly in Portal,A@000005-PR65.4p5-53,LM 77.4,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,40.2,https://storage.googleapis.com/aip_prod_bucket/aaf9c347-2ff2-41cf-85d6-3c8f5991faff.jpg,https://storage.googleapis.com/aip_prod_bucket/aaf9c347-2ff2-41cf-85d6-3c8f5991faff.jpg,,Link,5.3-158,0,null,77.4,"Feb 11, 2026",2021,"Feb 11, 2026",IIN,Maksims Jevsejevs,31384
Lightning Damage,GEAU-4876,WTG 33 53197546@98489-43-8261,Anomaly in Portal,C@000056-PR65.4p-53,LM 77.4,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,43,https://storage.googleapis.com/aip_prod_bucket/6a0a2153-91a5-4708-bfc4-990051007cdc.jpg,https://storage.googleapis.com/aip_prod_bucket/6a0a2153-91a5-4708-bfc4-990051007cdc.jpg,,Link,5.3-158,0,null,77.4,"Feb 4, 2026",2021,"Feb 4, 2026",IIN,Salvis Milts,31376
Lightning Damage,GEAU-4876,WTG 33 53197546@98489-49.5-7298,Anomaly in Portal,C@000056-PR65.4p-53,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,49.5,https://storage.googleapis.com/aip_prod_bucket/bd238ab1-991d-4aa5-9569-2e39f38a5a98.jpg,https://storage.googleapis.com/aip_prod_bucket/bd238ab1-991d-4aa5-9569-2e39f38a5a98.jpg,,Link,5.3-158,0,null,77.4,"Feb 4, 2026",2021,"Feb 4, 2026",IIN,Salvis Milts,31376
Lightning Damage,GEAU-4876,WTG 40 53197553@98509-20-1489,Anomaly in Portal,B@000102-PR65.4p-53,LM 77.4,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,20,https://storage.googleapis.com/aip_prod_bucket/0f1958d8-f12e-48e8-91a0-93c42e4852ae.jpg,https://storage.googleapis.com/aip_prod_bucket/0f1958d8-f12e-48e8-91a0-93c42e4852ae.jpg,,Link,5.3-158,0,null,77.4,"Feb 4, 2026",2021,"Feb 4, 2026",IIN,Kristine Tooma,31383
Lightning Damage,GEAU-4876,WTG 40 53197553@98508-39.4-7068,Anomaly in Portal,A@000101-PR65.4p-53,LM 77.4,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,39.4,https://storage.googleapis.com/aip_prod_bucket/2738fe18-c569-404c-93f8-5ff6f33f16e0.jpg,https://storage.googleapis.com/aip_prod_bucket/2738fe18-c569-404c-93f8-5ff6f33f16e0.jpg,,Link,5.3-158,0,null,77.4,"Feb 4, 2026",2021,"Feb 4, 2026",IIN,Kristine Tooma,31383
